year,species,clutch,age_predated,initial,predated,survival
1994,callidryas,31,0,42,42,0
1994,callidryas,32,0,34,24,0.294117647
1994,callidryas,36,0,16,14,0.125
1994,callidryas,48,0,31,31,0
1994,callidryas,49,0,33,27,0.181818182
1994,callidryas,56,0,56,56,0
1994,callidryas,79,0,21,21,0
1994,callidryas,96,0,27,27,0
1994,callidryas,108,0,39,39,0
1994,callidryas,141,0,41,41,0
1993,callidryas,48,0,23,22,0.043478261
1993,callidryas,49,0,31,30,0.032258065
1993,callidryas,53,0,32,32,0
1993,callidryas,70,0,23,23,0
1993,callidryas,74,0,34,34,0
1993,callidryas,76,0,38,22,0.421052632
1993,callidryas,79,0,36,35,0.027777778
1993,callidryas,89,0,40,39,0.025
1993,callidryas,133,0,36,32,0.111111111
1993,callidryas,160,0,32,32,0
1993,callidryas,165,0,30,30,0
1993,callidryas,177,0,29,29,0
1993,callidryas,13b,0,41,36,0.12195122
1993,callidryas,88b,0,42,42,0
1994,callidryas,15,1,63,20,0.682539683
1994,callidryas,32,1,10,10,0
1994,callidryas,40,1,29,25,0.137931034
1994,callidryas,41,1,31,28,0.096774194
1994,callidryas,91,1,57,45,0.210526316
1994,callidryas,105,1,45,45,0
1994,callidryas,189,1,45,40,0.111111111
1994,callidryas,200,1,62,54,0.129032258
1994,callidryas,233,1,31,31,0
1993,callidryas,69,1,50,44,0.12
1993,callidryas,80,1,14,14,0
1993,callidryas,88,1,55,55,0
1993,callidryas,95,1,61,61,0
1993,callidryas,112,1,46,37,0.195652174
1993,callidryas,114,1,50,50,0
1993,callidryas,134,1,37,35,0.054054054
1993,callidryas,158,1,45,22,0.511111111
1993,callidryas,158,1,23,10,0.565217391
1993,callidryas,175,1,27,15,0.444444444
1993,callidryas,11c,1,47,47,0
1994,callidryas,17,2,11,11,0
1994,callidryas,67,2,20,19,0.05
1994,callidryas,95,2,43,43,0
1994,callidryas,97,2,18,18,0
1994,callidryas,111,2,50,50,0
1994,callidryas,130,2,56,55,0.017857143
1994,callidryas,139,2,30,27,0.1
1994,callidryas,165,2,32,12,0.625
1994,callidryas,203,2,54,54,0
1993,callidryas,1,2,52,50,0.038461538
1993,callidryas,2,2,57,57,0
1993,callidryas,55,2,40,40,0
1993,callidryas,90,2,57,57,0
1993,callidryas,158,2,13,12,0.076923077
1993,callidryas,174,2,24,24,0
1993,callidryas,11b,2,54,52,0.037037037
1993,callidryas,11d,2,54,52,0.037037037
1994,callidryas,1,3,31,31,0
1994,callidryas,3,3,23,23,0
1994,callidryas,7,3,34,34,0
1994,callidryas,24,3,32,32,0
1994,callidryas,29,3,41,41,0
1994,callidryas,33,3,14,14,0
1994,callidryas,39,3,21,7,0.666666667
1994,callidryas,42,3,31,31,0
1994,callidryas,115,3,32,14,0.5625
1994,callidryas,134,3,79,79,0
1994,callidryas,146,3,32,14,0.5625
1994,callidryas,149,3,20,18,0.1
1994,callidryas,154,3,46,46,0
1994,callidryas,164,3,42,29,0.30952381
1994,callidryas,168,3,19,8,0.578947368
1994,callidryas,224,3,44,41,0.068181818
1994,callidryas,226,3,46,46,0
1993,callidryas,4,3,56,40,0.285714286
1993,callidryas,11,3,101,83,0.178217822
1993,callidryas,43,3,34,9,0.735294118
1993,callidryas,52,3,56,13,0.767857143
1993,callidryas,82,3,21,21,0
1993,callidryas,100,3,36,14,0.611111111
1993,callidryas,126,3,63,9,0.857142857
1993,callidryas,127,3,41,9,0.780487805
1994,callidryas,51,4,37,36,0.027027027
1994,callidryas,83,4,41,39,0.048780488
1994,callidryas,110,4,23,7,0.695652174
1994,callidryas,116,4,31,31,0
1994,callidryas,125,4,61,11,0.819672131
1994,callidryas,126,4,52,26,0.5
1994,callidryas,146,4,18,10,0.444444444
1994,callidryas,171,4,52,15,0.711538462
1994,callidryas,177,4,63,56,0.111111111
1994,callidryas,199,4,29,8,0.724137931
1993,callidryas,5,4,59,53,0.101694915
1993,callidryas,35,4,27,10,0.62962963
1993,callidryas,41,4,25,8,0.68
1993,callidryas,58,4,11,5,0.545454545
1993,callidryas,64,4,41,22,0.463414634
1993,callidryas,100,4,22,22,0
1993,callidryas,101,4,31,31,0
1993,callidryas,106,4,34,33,0.029411765
1993,callidryas,125,4,52,38,0.269230769
1993,callidryas,150,4,18,16,0.111111111
1993,callidryas,161,4,25,23,0.08
1994,callidryas,5,5,34,21,0.382352941
1994,callidryas,15,5,43,36,0.162790698
1994,callidryas,20,5,41,32,0.219512195
1994,callidryas,23,5,40,11,0.725
1994,callidryas,38,5,48,19,0.604166667
1994,callidryas,39,5,13,5,0.615384615
1994,callidryas,55,5,43,15,0.651162791
1994,callidryas,78,5,40,16,0.6
1994,callidryas,86,5,29,23,0.206896552
1994,callidryas,215,5,46,26,0.434782609
1993,callidryas,7,5,58,25,0.568965517
1993,callidryas,25,5,20,8,0.6
1993,callidryas,46,5,34,24,0.294117647
1993,callidryas,50,5,43,10,0.76744186
1993,callidryas,51,5,48,9,0.8125
1993,callidryas,54,5,36,29,0.194444444
1993,callidryas,57,5,32,17,0.46875
1993,callidryas,73,5,23,10,0.565217391
1993,callidryas,78,5,38,22,0.421052632
1993,callidryas,85,5,30,19,0.366666667
1993,callidryas,99,5,39,26,0.333333333
1993,callidryas,99,5,39,13,0.666666667
1993,callidryas,103,5,23,20,0.130434783
1993,callidryas,104,5,34,12,0.647058824
1993,callidryas,106b,5,23,20,0.130434783
1994,callidryas,19,6,17,7,0.588235294
1994,callidryas,46,6,30,8,0.733333333
1994,callidryas,77,6,40,39,0.025
1994,callidryas,194,6,55,51,0.072727273
1993,callidryas,34,6,46,9,0.804347826
1993,callidryas,81,6,29,21,0.275862069
1993,callidryas,92,6,42,8,0.80952381
1993,callidryas,127,6,32,8,0.75
1993,callidryas,169,6,34,9,0.735294118
1994,callidryas,10,7,53,26,0.509433962
1994,callidryas,18,7,11,3,0.727272727
1993,callidryas,10,7,30,7,0.766666667
1993,callidryas,27,7,36,9,0.75
1993,callidryas,33,7,24,12,0.5
1993,callidryas,65,7,13,2,0.846153846
1993,callidryas,72,7,25,25,0
1993,callidryas,83,7,30,10,0.666666667
1993,callidryas,96,7,50,9,0.82
1993,callidryas,116,7,50,26,0.48
1993,callidryas,118,7,59,23,0.610169492
1993,callidryas,137,7,27,15,0.444444444
1994,callidryas,22,8,21,13,0.380952381
1993,callidryas,120,8,16,12,0.25
1993,spurrelli,143,0,41,20,0.512195122
1993,spurrelli,156,0,93,78,0.161290323
1994,spurrelli,139,4,46,36,0.217391304
1994,spurrelli,141,0,44,44,0
1993,spurrelli,134,1,37,35,0.054054054
1993,spurrelli,145,3,231,156,0.324675325
1994,spurrelli,151,3,42,42,0
1993,spurrelli,139,4,41,35,0.146341463
1993,spurrelli,140,4,58,46,0.206896552
1994,spurrelli,156,4,151,61,0.59602649
1993,spurrelli,130,5,14,13,0.071428571
1994,spurrelli,240,2,43,34,0.209302326