predation_type,species,fish size,age,initial,survived,survival_prop
snake,callidryas,NA,5,15,9,0.6
snake,callidryas,NA,5,39,30,0.769
snake,callidryas,NA,5,52,31,0.596
snake,callidryas,NA,5,35,19,0.543
snake,callidryas,NA,5,27,15,0.556
snake,callidryas,NA,5,33,20,0.606
snake,callidryas,NA,5,34,17,0.5
snake,callidryas,NA,5,32,20,0.625
snake,callidryas,NA,5,31,8,0.258
snake,callidryas,NA,5,34,32,0.941
snake,callidryas,NA,5,23,12,0.522
snake,callidryas,NA,5,23,7,0.304
snake,callidryas,NA,5,36,25,0.694
snake,callidryas,NA,5,26,12,0.462
snake,callidryas,NA,5,26,19,0.731
snake,callidryas,NA,5,40,32,0.8
snake,callidryas,NA,6,25,18,0.72
snake,callidryas,NA,6,45,39,0.867
snake,callidryas,NA,6,43,36,0.837
snake,callidryas,NA,6,53,43,0.811
snake,callidryas,NA,6,61,55,0.902
snake,callidryas,NA,6,36,26,0.722
snake,callidryas,NA,6,29,25,0.862
snake,callidryas,NA,6,45,38,0.844
snake,callidryas,NA,6,25,15,0.6
snake,callidryas,NA,6,35,30,0.857
snake,callidryas,NA,6,62,44,0.71
snake,callidryas,NA,6,29,18,0.621
snake,callidryas,NA,6,50,33,0.66
snake,callidryas,NA,6,51,44,0.863
snake,callidryas,NA,6,39,27,0.692
snake,callidryas,NA,6,39,31,0.795
snake,callidryas,NA,7,46,37,0.804
snake,callidryas,NA,7,35,31,0.886
snake,callidryas,NA,7,44,37,0.841
snake,callidryas,NA,7,42,38,0.905
snake,callidryas,NA,7,36,25,0.694
snake,callidryas,NA,7,41,37,0.902
snake,callidryas,NA,7,21,16,0.762
snake,callidryas,NA,7,35,23,0.657
snake,callidryas,NA,7,36,24,0.667
snake,callidryas,NA,7,30,25,0.833
snake,callidryas,NA,7,40,37,0.925
snake,callidryas,NA,7,29,21,0.724
snake,callidryas,NA,7,17,13,0.765
snake,callidryas,NA,8,49,44,0.898
snake,callidryas,NA,8,28,22,0.786
snake,callidryas,NA,8,16,11,0.688
snake,callidryas,NA,8,17,14,0.824
snake,spurrelli,NA,4,135,7,0.052
snake,spurrelli,NA,4,29,0,0
snake,spurrelli,NA,4,95,8,0.084
snake,spurrelli,NA,4,114,25,0.219
snake,spurrelli,NA,4,28,6,0.214
snake,spurrelli,NA,4,12,0,0
snake,spurrelli,NA,4,94,11,0.117
snake,spurrelli,NA,4,75,0,0
snake,spurrelli,NA,5,16,3,0.188
snake,spurrelli,NA,5,24,5,0.208
snake,spurrelli,NA,5,71,20,0.282
snake,spurrelli,NA,5,14,0,0
snake,spurrelli,NA,5,122,45,0.369
snake,spurrelli,NA,5,95,44,0.463
snake,spurrelli,NA,5,38,12,0.316
snake,spurrelli,NA,5,251,109,0.434
fish,callidryas,2.2,5,10,5,0.5
fish,callidryas,2.4,5,10,0,0
fish,callidryas,2.5,5,10,0,0
fish,callidryas,2.7,5,10,1,0.1
fish,callidryas,2.8,5,10,1,0.1
fish,callidryas,2.2,6,10,6,0.6
fish,callidryas,2.4,6,10,5,0.5
fish,callidryas,2.5,6,10,5,0.5
fish,callidryas,2.7,6,10,4,0.4
fish,callidryas,2.9,6,10,2,0.2
fish,callidryas,2.2,7,10,7,0.7
fish,callidryas,2.4,7,10,6,0.6
fish,callidryas,2.5,7,10,4,0.4
fish,callidryas,2.65,7,10,2,0.2
fish,callidryas,2.9,7,10,4,0.4
fish,callidryas,2.2,8,10,8,0.8
fish,callidryas,2.4,8,10,6,0.6
fish,callidryas,2.5,8,10,6,0.6
fish,callidryas,2.65,8,10,3,0.3
fish,callidryas,2.9,8,10,3,0.3
fish,spurrelli,38.2,6,10,5,0.5
fish,spurrelli,44.3,6,10,2,0.2
fish,spurrelli,51.1,6,10,0,0
fish,spurrelli,40.6,6,10,1,0.1
fish,spurrelli,48.7,6,10,1,0.1
fish,spurrelli,47.2,6,10,2,0.2
fish,spurrelli,42.1,7,10,6,0.6
fish,spurrelli,48.8,7,10,3,0.3
fish,spurrelli,40.3,7,10,7,0.7
fish,spurrelli,47.6,7,10,4,0.4
fish,spurrelli,40.7,7,10,6,0.6
fish,spurrelli,42.4,7,10,7,0.7