year,species,clutch,number_of_eggs,D4 am,D4 pm,D5 am,D5 pm,D6 am,D6 pm,D7 am,D7 pm,D8 am,D8 pm,D9 am,D9 pm,D10 am,D10 pm,D11 am
1993,callidryas,3,76,0,0,0.013157895,0,0.013157895,0,0.723684211,0.105263158,0.092105263,0,0,0,0,0,0
1993,callidryas,6,46,0,0,0,0,0.673913043,0.043478261,0.130434783,0,0.02173913,0,0.02173913,0,0,0,0
1993,callidryas,7,58,0,0,0,0,0.431034483,0,0.086206897,0,0.034482759,0,0,0,0,0,0
1993,callidryas,8,47,0,0,0.021276596,0,0.510638298,0.042553191,0.276595745,0.042553191,0,0,0,0,0,0,0
1993,callidryas,9,52,0,0,0.076923077,0,0.230769231,0,0.326923077,0,0,0,0,0,0,0,0
1993,callidryas,10,34,0,0,0,0,0.117647059,0,0,0,0.676470588,0,0,0,0,0,0
1993,callidryas,13,71,0,0,0.028169014,0.084507042,0.38028169,0.056338028,0.211267606,0.070422535,0.014084507,0,0,0,0,0,0
1993,callidryas,14,71,0,0,0,0.042253521,0.267605634,0.042253521,0.225352113,0.042253521,0.154929577,0,0,0,0,0,0
1993,callidryas,15,36,0,0,0.111111111,0,0.277777778,0.25,0.111111111,0.027777778,0,0,0,0,0,0,0
1993,callidryas,16,45,0,0,0,0.022222222,0.177777778,0.133333333,0.244444444,0.111111111,0.066666667,0,0,0,0,0,0
1993,callidryas,17,34,0,0,0,0,0.205882353,0.117647059,0.058823529,0.058823529,0.323529412,0,0.029411765,0,0,0,0
1993,callidryas,18,39,0,0,0,0,0,0.102564103,0.564102564,0.025641026,0.256410256,0,0,0,0,0,0
1993,callidryas,19,35,0,0,0,0,0,0,0.685714286,0,0,0,0,0,0,0,0
1993,callidryas,20,29,0,0,0.103448276,0.103448276,0.413793103,0.068965517,0.172413793,0,0.068965517,0,0,0,0,0,0
1993,callidryas,22,83,0,0,0,0,0,0,0.56626506,0.228915663,0.13253012,0,0,0,0,0,0
1993,callidryas,23,41,0,0,0,0,0.292682927,0,0.243902439,0.024390244,0.43902439,0,0,0,0,0,0
1993,callidryas,24,43,0,0,0,0,0.279069767,0,0.139534884,0.023255814,0.511627907,0,0,0,0,0,0
1993,callidryas,26,36,0,0,0,0,0.027777778,0,0.833333333,0,0,0,0,0,0,0,0
1993,callidryas,27,70,0,0,0,0,0.157142857,0.057142857,0.242857143,0.128571429,0.214285714,0,0,0,0,0,0
1993,callidryas,28,67,0,0,0,0.074626866,0.47761194,0.28358209,0.074626866,0.014925373,0,0,0,0,0,0,0
1993,callidryas,29,28,0,0,0,0,0,0,0,0,0.928571429,0,0,0,0,0,0
1993,callidryas,30,88,0,0,0,0,0.272727273,0.147727273,0.420454545,0.068181818,0.011363636,0,0,0,0,0,0
1993,callidryas,31,62,0,0,0,0,0,0.016129032,0.241935484,0.032258065,0.64516129,0.016129032,0.032258065,0.016129032,0,0,0
1993,callidryas,32,52,0,0,0,0,0,0,0,0,0.692307692,0.038461538,0.153846154,0,0,0,0
1993,callidryas,33,28,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0
1993,callidryas,34,50,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0
1993,callidryas,37,58,0,0,0,0,0.896551724,0,0.034482759,0,0,0,0,0,0,0,0
1993,callidryas,38,19,0,0,0,0,0,0,0,0.631578947,0.052631579,0.105263158,0,0,0,0,0
1993,callidryas,39,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,callidryas,40,33,0,0,0,0,0.393939394,0,0.393939394,0,0.121212121,0,0.060606061,0,0,0,0
1993,callidryas,47,43,0,0,0,0,0,0,0,0,0.953488372,0.023255814,0,0,0,0,0
1993,callidryas,52,58,0,0,0.017241379,0,0.034482759,0.103448276,0.396551724,0.034482759,0.017241379,0,0.051724138,0,0,0,0
1993,callidryas,60,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,callidryas,61,53,0,0,0,0,0,0,0,0.018867925,0.849056604,0,0.018867925,0,0,0,0
1993,callidryas,62,10,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
1993,callidryas,62b,42,0,0,0,0.095238095,0.5,0.047619048,0.023809524,0.095238095,0.047619048,0,0,0,0.023809524,0,0
1993,callidryas,63,27,0,0,0,0,0.333333333,0,0.074074074,0.074074074,0.518518519,0,0,0,0,0,0
1993,callidryas,65,35,0,0,0.028571429,0,0.2,0.171428571,0,0,0.314285714,0,0,0,0,0,0
1993,callidryas,66,42,0,0,0,0,0,0,0,0,0.333333333,0.023809524,0.642857143,0,0,0,0
1993,callidryas,67,13,0,0,0,0,0,0.076923077,0.923076923,0,0.076923077,0,0,0,0,0,0
1993,callidryas,68,30,0,0,0.033333333,0.233333333,0.2,0.066666667,0.033333333,0,0,0,0,0,0,0,0
1993,callidryas,71,57,0,0,0,0.01754386,0.035087719,0.070175439,0.192982456,0,0.49122807,0,0.140350877,0,0.01754386,0,0
1993,callidryas,75,38,0,0,0,0,0,0.026315789,0.315789474,0.026315789,0.631578947,0,0,0,0,0,0
1993,callidryas,77,25,0,0,0,0,0,0,0,0,0.88,0,0.08,0,0,0,0
1993,callidryas,84,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,callidryas,91,48,0,0,0,0,0,0,0,0,0.791666667,0.020833333,0.041666667,0,0,0,0
1993,callidryas,97,31,0,0,0,0,0,0,0.225806452,0.387096774,0,0,0,0,0,0,0
1993,callidryas,98,21,0,0,0,0,0.428571429,0,0.142857143,0,0.095238095,0,0,0,0,0,0
1993,callidryas,102,74,0,0,0,0,0,0,0.72972973,0.094594595,0.121621622,0.027027027,0,0,0,0,0
1993,callidryas,111,49,0,0,0,0,0,0,0.06122449,0.183673469,0.408163265,0.183673469,0.081632653,0,0,0,0
1993,callidryas,113,57,0,0,0,0,0.01754386,0.01754386,0.01754386,0,0.947368421,0,0,0,0,0,0
1993,callidryas,74b,39,0,0,0,0,0,0.256410256,0.051282051,0.564102564,0,0,0,0,0,0,0
1993,callidryas,119,57,0,0,0,0,0,0,0.035087719,0.070175439,0.701754386,0,0,0,0,0,0
1993,callidryas,121,36,0,0,0,0,0,0,0,0.027777778,0.666666667,0.027777778,0.222222222,0,0,0,0
1993,callidryas,122,29,0,0,0,0,0,0.172413793,0,0,0.24137931,0,0.310344828,0,0,0,0
1993,callidryas,126,63,0,0,0,0,0,0,0.333333333,0.253968254,0.206349206,0.015873016,0.015873016,0,0,0,0
1993,callidryas,132,29,0,0,0,0,0,0.620689655,0.068965517,0.034482759,0.034482759,0.034482759,0,0,0,0,0
1993,callidryas,138,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,callidryas,149,12,0,0,0,0,0.083333333,0,0.416666667,0.416666667,0,0,0,0,0,0,0
1993,callidryas,154,17,0,0,0.058823529,0,0,0,0,0.058823529,0.411764706,0.294117647,0.117647059,0,0,0,0
1993,callidryas,157,17,0,0,0,0.058823529,0.058823529,0,0.764705882,0,0,0,0,0,0,0,0
1993,callidryas,162,76,0,0,0,0.013157895,0.131578947,0.157894737,0.605263158,0,0,0,0,0,0,0,0
1993,callidryas,164,31,0,0,0,0,0,0,0.935483871,0.032258065,0.032258065,0,0,0,0,0,0
1993,callidryas,166,24,0,0,0,0,0,0,0,0,0.416666667,0.291666667,0.125,0,0,0,0
1993,callidryas,167,52,0,0,0,0,0.019230769,0.019230769,0.115384615,0.769230769,0,0,0,0,0,0,0
1993,callidryas,168,50,0,0,0,0.14,0.28,0.2,0.2,0,0,0,0,0,0,0,0
1993,callidryas,170,39,0,0,0,0,0.025641026,0.564102564,0.333333333,0,0,0,0,0,0,0,0
1993,callidryas,171,28,0,0.035714286,0.5,0,0.035714286,0.071428571,0.035714286,0,0.178571429,0,0.035714286,0,0,0,0
1993,callidryas,172,26,0,0,0,0,0,0,0.846153846,0,0,0,0,0,0,0,0
1994,callidryas,4,44,0,0,0,0,0,0,0,0.045454545,0.090909091,0.136363636,0.522727273,0,0,0,0
1994,callidryas,8,42,0,0,0,0,0.023809524,0,0.047619048,0,0.047619048,0,0.857142857,0,0,0,0
1994,callidryas,9,43,0,0,0,0,0,0,0.023255814,0,0.953488372,0,0,0,0,0,0
1994,callidryas,11,49,0,0,0,0,0,0,0.020408163,0,0.163265306,0.489795918,0.306122449,0,0,0,0
1994,callidryas,12,46,0,0,0,0,0,0.02173913,0,0.02173913,0.760869565,0.02173913,0.108695652,0,0,0,0
1994,callidryas,13,24,0,0,0,0,0,0,0,0,0.25,0,0.708333333,0,0,0,0
1994,callidryas,14,11,0,0,0,0,0,0,0,0,0,0.181818182,0.818181818,0,0,0,0
1994,callidryas,16,52,0,0,0,0,0,0,0,0.019230769,0.442307692,0.153846154,0.288461538,0,0,0,0
1994,callidryas,21,48,0,0,0,0,0,0,0,0,0.541666667,0.104166667,0.1875,0,0,0,0
1994,callidryas,25,37,0,0,0,0,0,0,0,0,0.702702703,0.081081081,0.081081081,0,0,0,0
1994,callidryas,30,31,0,0,0,0,0,0,0,0.032258065,0.612903226,0.35483871,0,0,0,0,0
1994,callidryas,34,31,0,0,0,0,0,0,0,0,0.903225806,0,0,0,0,0,0
1994,callidryas,43,58,0,0,0,0,0,0,0,0,0.982758621,0,0,0,0,0,0
1994,callidryas,44,54,0,0,0,0,0,0,0,0,0.907407407,0.018518519,0,0,0,0,0
1994,callidryas,50,43,0,0,0,0,0,0.209302326,0.744186047,0,0,0,0,0,0,0,0
1994,callidryas,52,11,0,0,0,0,0,0,0.272727273,0.727272727,0,0,0,0,0,0,0
1994,callidryas,53,37,0,0,0,0,0,0,0,0,0.945945946,0,0,0,0,0,0
1994,callidryas,57,68,0,0,0.029411765,0.044117647,0,0.397058824,0.367647059,0.132352941,0,0,0,0,0,0,0
1994,callidryas,59,33,0,0,0,0,0,0,0,0,0.303030303,0.424242424,0.242424242,0,0,0,0
1994,callidryas,61,39,0,0,0.461538462,0,0,0,0.025641026,0,0.102564103,0.051282051,0,0,0,0,0
1994,callidryas,62,29,0,0,0,0,0.068965517,0,0.379310345,0,0.551724138,0,0,0,0,0,0
1994,callidryas,63,53,0,0,0,0,0,0,0.716981132,0,0.226415094,0.018867925,0.018867925,0,0,0,0
1994,callidryas,66,30,0,0,0,0,0,0,0,0.2,0.6,0.033333333,0,0,0,0,0
1994,callidryas,68,58,0,0,0,0,0.051724138,0,0.086206897,0.068965517,0.482758621,0.120689655,0.155172414,0,0,0,0
1994,callidryas,69,25,0,0,0,0,0,0,0,0.04,0.96,0,0,0,0,0,0
1994,callidryas,73,21,0,0,0,0,0,0,0.428571429,0.333333333,0.19047619,0,0,0,0,0,0
1994,callidryas,74,31,0,0,0,0,0,0,0.064516129,0,0.032258065,0,0,0,0,0,0
1994,callidryas,75,40,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0
1994,callidryas,76,24,0,0,0,0,0,0,0.125,0.375,0.458333333,0,0,0,0,0,0
1994,callidryas,81,35,0,0,0,0,0,0,0,0,0.914285714,0.028571429,0,0,0,0,0
1994,callidryas,84,21,0,0,0,0,0,0,0,0,0,0.095238095,1.19047619,0,0,0,0
1994,callidryas,85,41,0,0,0,0,0.024390244,0,0.073170732,0.195121951,0.170731707,0.219512195,0.219512195,0,0,0,0
1994,callidryas,87,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,callidryas,88,29,0,0,0,0,0,0,0.034482759,0,0.965517241,0,0,0,0,0,0
1994,callidryas,89,33,0,0,0,0,0,0,0.090909091,0,0.848484848,0,0,0,0,0,0
1994,callidryas,90,48,0,0,0,0,0,0,0.8125,0,0.104166667,0,0,0,0,0,0.020833333
1994,callidryas,92,74,0,0,0,0.013513514,0.216216216,0.175675676,0.405405405,0,0,0,0,0,0,0,0
1994,callidryas,93,54,0,0,0,0.018518519,0.222222222,0.092592593,0.592592593,0,0,0,0,0,0,0,0
1994,callidryas,94,82,0,0,0,0,0.048780488,0.06097561,0.329268293,0.280487805,0.231707317,0.012195122,0,0,0,0,0
1994,callidryas,98,38,0,0,0,0,0,0,0,0.026315789,0.921052632,0,0,0,0,0,0
1994,callidryas,99,48,0,0,0,0,0.083333333,0.041666667,0.604166667,0,0.041666667,0.041666667,0,0,0,0,0
1994,callidryas,100,28,0,0,0,0,0,0.035714286,0.357142857,0,0.571428571,0,0,0,0,0,0
1994,callidryas,101,35,0,0,0,0,0,0,0.142857143,0.114285714,0.571428571,0,0,0,0,0,0
1994,callidryas,102,31,0,0,0,0,0,0,0.258064516,0.032258065,0.612903226,0,0,0,0,0,0
1994,callidryas,103,51,0,0,0,0,0.431372549,0,0.039215686,0,0,0,0,0,0,0,0
1994,callidryas,106,22,0,0,0,0,0,0,0,0,0.954545455,0,0,0,0,0,0
1994,callidryas,107,21,0,0,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0
1994,callidryas,109,66,0,0,0,0,0,0,0.075757576,0.03030303,0.863636364,0,0,0,0,0,0
1994,callidryas,119,58,0,0,0,0.051724138,0.844827586,0.034482759,0,0,0,0,0,0,0,0,0
1994,callidryas,120,46,0,0,0,0,0.826086957,0,0,0,0,0,0,0,0,0,0
1994,callidryas,121,46,0,0,0,0,0.304347826,0.02173913,0.434782609,0.152173913,0.065217391,0,0,0,0,0,0
1994,callidryas,122,86,0,0,0,0,0.023255814,0.034883721,0.069767442,0.104651163,0.430232558,0.069767442,0.23255814,0,0,0,0
1994,callidryas,123,30,0,0,0,0,0.666666667,0.133333333,0.1,0,0,0,0,0,0,0,0
1994,callidryas,124,33,0,0,0,0,0,0,0.636363636,0,0.363636364,0,0,0,0,0,0
1994,callidryas,125,61,0,0,0,0,0.163934426,0.016393443,0.06557377,0.032786885,0.459016393,0.081967213,0,0,0,0,0
1994,callidryas,127,64,0,0,0,0,0.625,0.078125,0.09375,0.015625,0.046875,0.03125,0,0,0,0,0
1994,callidryas,128,26,0,0,0,0,0,0,0,0,0.807692308,0.038461538,0.038461538,0,0,0,0
1994,callidryas,129,54,0,0,0.333333333,0.018518519,0.240740741,0.203703704,0.092592593,0,0.018518519,0.018518519,0,0,0,0,0
1994,callidryas,131,38,0,0,0,0.026315789,0.473684211,0,0.078947368,0.342105263,0,0,0,0,0,0,0
1994,callidryas,133,75,0,0,0.626666667,0.013333333,0.146666667,0.013333333,0.013333333,0,0.04,0,0,0,0,0,0
1994,callidryas,135,21,0,0,0.285714286,0,0,0.333333333,0.047619048,0.095238095,0,0,0,0,0,0,0
1994,callidryas,136,39,0,0,0,0,0.179487179,0.025641026,0.435897436,0.025641026,0.205128205,0,0.025641026,0,0,0,0
1994,callidryas,138,41,0,0,0,0.073170732,0.243902439,0.024390244,0.195121951,0,0.219512195,0,0,0,0,0,0
1994,callidryas,140,56,0,0,0.089285714,0.035714286,0.232142857,0.071428571,0.357142857,0.053571429,0,0,0,0,0,0,0
1994,callidryas,142,37,0,0,0,0,0,0,0,0.108108108,0.864864865,0,0,0,0,0,0
1994,callidryas,143,47,0,0,0.021276596,0,0,0.021276596,0.170212766,0,0.765957447,0,0,0,0,0,0
1994,callidryas,144,36,0,0,0.722222222,0,0,0,0,0,0,0,0,0,0,0,0
1994,callidryas,145,55,0,0,0,0,0.763636364,0.018181818,0.054545455,0.018181818,0,0,0.018181818,0,0,0,0
1994,callidryas,147,49,0,0,0.244897959,0,0.306122449,0.020408163,0.081632653,0,0.12244898,0,0,0,0,0,0
1994,callidryas,148,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,callidryas,157,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,callidryas,158,39,0,0,0,0,0,0,0.923076923,0,0.025641026,0,0,0,0,0,0
1994,callidryas,159,31,0,0,0,0,0.387096774,0.096774194,0.483870968,0,0,0,0,0,0,0,0
1994,callidryas,160,48,0,0,0.145833333,0,0.083333333,0.270833333,0.270833333,0,0.041666667,0,0,0,0,0,0
1994,callidryas,161,41,0,0,0,0.073170732,0.414634146,0.073170732,0.243902439,0,0,0,0,0,0,0,0
1994,callidryas,165,32,0,0,0,0.03125,0.15625,0.0625,0.15625,0,0.03125,0,0,0,0,0,0
1994,callidryas,169,43,0,0,0,0,0.395348837,0.23255814,0.325581395,0,0,0,0,0,0,0,0
1994,callidryas,170,18,0.055555556,0,0.111111111,0.055555556,0.722222222,0,0,0,0,0,0,0,0,0,0
1994,callidryas,172,29,0,0,0.172413793,0.068965517,0.24137931,0,0.344827586,0,0,0,0,0,0,0,0
1994,callidryas,173,20,0,0,0,0,0,0,0.7,0,0,0.3,0,0,0,0,0
1994,callidryas,174,21,0,0,0,0,0.666666667,0.142857143,0.19047619,0,0,0,0,0,0,0,0
1994,callidryas,178,24,0,0,0,0,0.208333333,0,0.583333333,0,0,0,0,0,0,0,0
1994,callidryas,179,28,0,0,0,0,0,0.035714286,0,0.892857143,0,0,0,0,0,0,0
1994,callidryas,180,27,0,0,0,0,0,0,0.259259259,0.037037037,0.666666667,0,0,0,0,0,0
1994,callidryas,181,28,0,0,0.071428571,0,0.571428571,0,0.285714286,0,0,0,0,0,0,0,0
1994,callidryas,182,28,0,0,0,0,0,0,0.285714286,0.107142857,0.607142857,0,0,0,0,0,0
1994,callidryas,183,46,0,0,0,0,0.02173913,0,0,0.913043478,0,0,0,0,0,0,0
1994,callidryas,184,33,0,0,0,0,0,0,0,0.03030303,0.848484848,0,0,0,0,0,0
1994,callidryas,185,32,0,0,0,0,0.03125,0,0.375,0.0625,0.46875,0,0,0,0,0,0
1994,callidryas,186,36,0,0,0,0,0.305555556,0.138888889,0.527777778,0,0.027777778,0,0,0,0,0,0
1994,callidryas,187,25,0,0,0,0.04,0.52,0,0.36,0,0,0,0,0,0,0,0
1994,callidryas,188,41,0,0,0.219512195,0,0.024390244,0,0,0,0,0,0,0,0,0,0
1994,callidryas,190,31,0,0,0,0,0.35483871,0.35483871,0.258064516,0,0,0,0,0,0,0,0
1994,callidryas,191,39,0,0,0,0,0.153846154,0.051282051,0.692307692,0,0,0,0,0,0,0,0
1994,callidryas,195,18,0,0,0.166666667,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0
1994,callidryas,198,46,0,0,0,0,0,0.043478261,0.369565217,0.065217391,0.456521739,0,0,0,0,0,0
1994,callidryas,201,34,0,0,0.058823529,0.029411765,0.294117647,0,0.294117647,0,0.029411765,0,0,0,0,0,0
1994,callidryas,202,50,0,0,0,0,0.72,0.08,0,0,0,0,0,0,0,0,0
1994,callidryas,204,64,0,0,0.125,0,0.734375,0.03125,0.03125,0,0,0,0,0,0,0,0
1994,callidryas,205,63,0,0,0.031746032,0.031746032,0.825396825,0.031746032,0.031746032,0,0,0,0,0,0,0,0
1994,callidryas,206,50,0,0,0.42,0,0.22,0,0,0,0,0,0,0,0,0,0
1994,callidryas,207,42,0,0,0.071428571,0.023809524,0.476190476,0.047619048,0.119047619,0,0,0,0,0,0,0,0
1994,callidryas,208,226,0,0,0,0,0.044247788,0,0.03539823,0,0,0,0,0,0,0,0
1994,callidryas,209,33,0,0,0,0,0.545454545,0,0.393939394,0.03030303,0,0,0,0,0,0,0
1994,callidryas,210,36,0,0,0,0,0.166666667,0.222222222,0.194444444,0,0.222222222,0,0.027777778,0,0,0,0
1994,callidryas,212,62,0,0,0.129032258,0,0.016129032,0,0.112903226,0.548387097,0.177419355,0,0,0,0,0,0
1994,callidryas,214,25,0,0,0,0.32,0.12,0.2,0,0.04,0,0,0,0,0,0,0
1994,callidryas,216,40,0,0,0.325,0.35,0.125,0,0,0,0,0,0,0,0,0,0
1994,callidryas,217,18,0,0,0,0,0,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0,0,0,0
1994,callidryas,218,25,0,0,0,0.04,0.08,0.6,0.28,0,0,0,0,0,0,0,0
1994,callidryas,219,25,0,0,0,0,0.24,0.56,0,0,0,0,0,0,0,0,0
1994,callidryas,220,38,0,0,0,0,0,0.868421053,0.052631579,0,0,0,0,0,0,0,0
1994,callidryas,223,42,0,0,0.023809524,0,0.761904762,0,0,0,0,0,0,0,0,0,0
1993,spurrelli,107,12,0,0,0,0,0.75,0.083333333,0.083333333,0,0,0,0,0,0,0,0
1993,spurrelli,108,12,0,0,0,0,0.333333333,0.083333333,0.583333333,0,0,0,0,0,0,0,0
1993,spurrelli,110,29,0,0,0,0.344827586,0.586206897,0.034482759,0,0,0,0,0,0,0,0,0
1993,spurrelli,117,30,0,0,0,0,0.733333333,0.133333333,0.066666667,0,0.033333333,0,0,0,0,0,0
1993,spurrelli,131,29,0,0,0.068965517,0.034482759,0.206896552,0.068965517,0.310344828,0,0,0,0,0,0,0,0
1993,spurrelli,135,24,0,0,0,0.125,0.458333333,0,0.375,0,0,0,0,0,0,0,0
1993,spurrelli,136,161,0,0,0,0,0.720496894,0,0.211180124,0,0,0,0,0,0,0,0
1993,spurrelli,141,60,0,0,0,0,0.4,0.166666667,0.216666667,0,0,0,0,0,0,0,0
1993,spurrelli,144,220,0,0,0.2,0.040909091,0.322727273,0,0.022727273,0,0,0,0,0,0,0,0
1993,spurrelli,146,213,0,0,0.004694836,0,0.323943662,0,0.568075117,0,0,0,0,0,0,0,0
1993,spurrelli,147,75,0,0,0,0,0.506666667,0.013333333,0.48,0,0,0,0,0,0,0,0
1993,spurrelli,148,97,0,0,0,0,0.742268041,0,0.092783505,0,0,0,0,0,0,0,0
1993,spurrelli,151,78,0,0,0,0.038461538,0.769230769,0.025641026,0.115384615,0,0,0,0,0,0,0,0
1993,spurrelli,152,23,0,0,0,0.130434783,0.782608696,0,0,0,0,0,0,0,0,0,0
1994,spurrelli,150,69,0.115942029,0.086956522,0.376811594,0,0.362318841,0,0,0,0,0,0,0,0,0,0
1994,spurrelli,152,17,0.235294118,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,spurrelli,153,76,0.25,0,0.157894737,0.157894737,0.276315789,0.013157895,0,0,0,0,0,0,0,0,0
1994,spurrelli,155,79,0,0,0.037974684,0.012658228,0.063291139,0,0.417721519,0,0,0,0,0,0,0,0
1994,spurrelli,156,170,0,0,0,0.217647059,0.205882353,0,0.070588235,0,0,0,0,0,0,0,0